YYYY/MM/DD Time,PointA_latitude,PointA_longitude,PointB_latitude,PointB_longitude
2017/10/9 19:11,43.7566659,142.3803702,,
2017/10/9 19:14,44.1208177,142.5598268,,
2017/10/9 19:30,35.3620902,137.1090527,,
2017/10/9 19:35,43.06766303,141.4085558,,
2017/10/9 20:25,36.1021439,140.1056111,,
2017/10/9 20:53,43.5850169,141.9335047,,
2017/10/9 21:17,35.40742935,139.2963002,,
2017/10/9 21:53,36.20747359,137.9625127,,
2017/10/9 21:56,34.21898523,133.6850416,,
2017/10/9 22:10,35.20231269,138.6639976,,
2017/10/9 23:00,38.31302605,140.9102087,,
2017/10/10 2:27,34.82359051,135.3142998,,
2017/10/10 2:40,35.5076793,139.4832251,,
2017/10/10 2:58,43.07089989,141.3410803,43.06897413,141.3446872
2017/10/10 4:22,36.05958525,136.2231333,,
2017/10/10 7:18,36.57393719,136.6606496,,
2017/10/10 7:48,35.76778384,139.3065661,,
2017/10/10 7:54,35.4199227,139.6500415,,
2017/10/10 8:24,34.27566159,134.1318331,,
2017/10/10 8:31,34.74856417,137.9100961,,
2017/10/10 8:44,34.68620444,135.1684224,,
2017/10/10 8:56,42.898896,143.1338765,,
2017/10/10 9:16,35.4335099,139.4373668,,
2017/10/10 9:16,35.6170272,138.568075,,
2017/10/10 9:24,38.2540457,140.9525088,,
2017/10/10 9:28,36.0267797,138.1844808,,
2017/10/10 9:32,35.48008365,138.7868844,,
2017/10/10 9:47,36.57372644,139.7510433,,
2017/10/10 9:59,36.0749235,140.2005353,,
2017/10/10 10:04,36.3874726,139.2780538,,
2017/10/10 10:07,34.71274429,135.2299271,,
2017/10/10 10:10,36.56566003,139.8391164,,
2017/10/10 10:29,36.81354541,137.4116634,,
2017/10/10 10:45,36.39594814,138.2210408,,
2017/10/10 11:06,35.24051076,136.9858033,,
2017/10/10 11:47,35.00565965,138.4264688,,
2017/10/10 11:55,34.7605397,135.489558,,
2017/10/10 12:03,36.4573201,140.4893165,,
2017/10/10 12:05,36.5672498,139.9840303,,
2017/10/10 12:21,33.84715243,130.7271142,,
2017/10/10 12:24,33.84075005,132.7944864,,
2017/10/10 12:24,32.1058426,131.4476634,,
2017/10/10 12:44,35.4011603,136.8254919,,
2017/10/10 13:08,34.82481096,134.5219303,,
2017/10/10 13:48,35.74280963,139.4659889,,
2017/10/10 14:05,35.33201235,136.8670437,35.33211738,136.8667004
2017/10/10 14:21,35.0012597,137.059813,,
2017/10/10 14:29,42.67934617,141.7139511,,
2017/10/10 14:33,33.9452728,131.0061533,33.94609829,131.0090204
2017/10/10 14:52,34.95488565,137.0800582,34.95470785,137.0801935
2017/10/10 15:13,39.3792104,140.0559731,,
2017/10/10 15:36,35.49019536,138.7451208,,
2017/10/10 15:47,34.6033619,133.7636032,,
2017/10/10 15:48,35.22346404,136.8855868,,
2017/10/10 16:01,33.37349644,131.53549,,
2017/10/10 16:16,35.70498221,139.7643561,,
2017/10/10 16:27,35.79324266,139.6853435,,
2017/10/10 16:38,36.5568093,139.9144618,,
2017/10/10 16:43,34.83102269,138.2946947,,
2017/10/10 16:52,34.6593114,135.5572339,,
2017/10/10 16:54,34.6593114,135.5572339,,
2017/10/10 17:03,34.76372761,135.5342616,,
2017/10/10 17:07,34.4793395,133.3814175,,
2017/10/10 17:09,34.92839433,134.756424,,
2017/10/10 17:37,36.5737444,136.6565312,,
2017/10/10 17:37,35.8427273,139.7072603,,
2017/10/10 17:38,36.5737444,136.6565312,,
2017/10/10 18:03,36.3336904,138.5263819,,
2017/10/10 18:17,34.6897195,135.5450185,,
2017/10/10 18:33,36.15875438,139.3638773,,
2017/10/10 18:44,33.8490007,130.7468093,,
2017/10/10 19:04,32.7687161,130.6970307,,
2017/10/10 19:30,35.85462586,139.3819534,,
2017/10/10 19:30,38.57424477,140.946005,,
2017/10/10 19:35,36.31643622,139.444419,,
2017/10/10 19:44,36.91861031,140.041394,,
2017/10/10 19:53,34.44967424,135.7434298,,
2017/10/10 19:56,35.91406244,137.9654938,,
2017/10/10 20:15,31.52667483,130.5324143,,
2017/10/10 20:24,43.0566303,141.3396557,,
2017/10/10 20:47,34.26443903,135.1875489,34.26443903,135.1875489
2017/10/10 20:52,34.47070578,133.3939379,,
2017/10/10 21:11,35.41879915,139.4367557,,
